calfid,bwt,wwt
2,100,157
3,102,142
4,102,148
5,116,171
6,73,
7,93,142
8,103,156
9,122,169
10,79,
11,98,143
12,101,137
13,65,129
196,95,136
197,83,148
198,85,115
199,89,177
2462,82,157
2463,84,137
2464,94,172
2465,87,137
2466,86,138
2467,81,97
2468,100,132
2469,90,142
2470,89,142
2471,85,137
2472,101,141
2473,89,136
2474,85,133
2475,93,146
2476,88,121
2477,90,143
2478,102,130
2479,104,137
2480,80,121
2481,95,124
2482,101,147
2483,87,116
2484,92,108
2485,87,132
2486,94,122
2487,84,139
2488,78,101
2489,94,134
6810,85,172
6811,95,181
6829,93,178
3238,90,188
3233,88,166
6817,68,148
3239,81,152
3236,80,183
3237,90,147
3240,96,177
3241,77,152
3329,80,217
3333,90,232
3337,85,223
3340,84,204
3344,86,214
3347,91,207
3350,85,191
3353,80,202
3356,99,230
3361,89,216
3331,83,222
3332,92,202
3335,96,236
3336,101,232
3338,94,223
3339,103,249
3342,83,220
3343,87,213
3345,77,209
3346,91,227
3348,81,205
3349,95,213
3351,96,247
3352,66,188
3354,83,217
3355,86,224
3358,78,189
3359,77,212
3362,86,233
3363,89,223
